REGION,CODE
Республика Алтай,4
Алтайский край,22
Амурская область,28
Архангельская область,29
Астраханская область,30
Белгородская область,31
Брянская область,32
Бурятская республика,3
Владимирская область,33
Волгоградская область,34
Вологодская область,35
Воронежская область,36
Город Москва,77
Город Санкт-Петербург,78
Еврейская автономная область,79
Забайкальский край,75
Ивановская область,37
Иркутская область,38
Кабардино-Балкарская республика,7
Калининградская область,39
Калужская область,40
Камчатский край,41
Карачаево-Черкесская республика,9
Кемеровская область,42
Кировская область,43
Костромская область,44
Краснодарский край,23
Красноярский край,24
Курганская область,45
Курская область,46
Ленинградская область,47
Липецкая область,48
Магаданская область,49
Мордовская республика,13
Московская область,50
Мурманская область,51
Ненецкий автономный округ,83
Нижегородская область,52
Новгородская область,53
Новосибирская область,54
Омская область,55
Оренбургская область,56
Орловская область,57
Пензенская область,58
Пермский край,59
Приморский край,25
Псковская область,60
Республика Адыгея,1
Республика Башкирия,2
Республика Дагестан,5
Республика Калмыкия,8
Республика Карелия,10
Республика Коми,11
Республика Марий-Эл,12
Республика Саха (Якутия),14
Республика Северная Осетия,15
Республика Татарстан,16
Республика Тува,17
Республика Хакасия,19
Ростовская область,61
Рязанская область,62
Самарская область,63
Саратовская область,64
Сахалинская область,65
Свердловская область,66
Смоленская область,67
Ставропольский край,26
Тамбовская область,68
Тверская область,69
Томская область,70
Тульская область,71
Тюменская область,72
Удмуртская республика,18
Ульяновская область,73
Хабаровский край,27
Ханты-Мансийский АО,86
Челябинская область,74
Чеченская республика + Ингушская республика,20
Чувашская республика,21
Чукотский автономный округ,87
Ямало-Ненецкий АО,89
Ярославская область,76
